Tempo	Intensidade
0,0000	0,2
0,2000	0,2
0,4000	0,2
0,6000	0,2
0,8000	0,2
1,0000	0,2
1,2000	0,2
1,4000	0,2
1,6000	0,2
1,8000	0,2
2,0000	0,2
2,2000	0,2
2,4000	0,2
2,6000	0,2
2,8000	0,2
3,0000	0,2
3,2000	0,2
3,4000	0,2
3,6000	0,2
3,8000	0,2
4,0000	0,2
4,2000	0,2
4,4000	0,2
4,6000	0,2
4,8000	0,2
5,0000	0,2
5,2000	0,2
5,4000	0,2
5,6000	0,2
5,8000	0,2
6,0000	0,2
6,2000	0,2
6,4000	0,2
6,6000	0,2
6,8000	0,2
7,0000	0,2
7,2000	0,2
7,4000	0,2
7,6000	0,2
7,8000	0,2
8,0000	0,2
8,2000	0,2
8,4000	0,2
8,6000	0,2
8,8000	0,2
9,0000	0,2
9,2000	0,2
9,4000	0,2
9,6000	0,2
9,8000	0,2
10,0000	0,2
10,2000	0,2
10,4000	0,2
10,6000	0,2
10,8000	0,2
11,0000	0,2
11,2000	0,2
11,4000	0,2
11,6000	0,2
11,8000	0,2
12,0000	0,2
12,2000	0,2
12,4000	0,2
12,6000	0,2
12,8000	0,2
13,0000	0,2
13,2000	0,2
13,4000	0,2
13,6000	0,2
13,8000	0,2
14,0000	0,2
14,2000	0,2
14,4000	0,2
14,6000	0,2
14,8000	0,2
15,0000	0,2
15,2000	0,2
15,4000	0,2
15,6000	0,2
15,8000	0,2
16,0000	0,2
16,2000	0,2
16,4000	0,2
16,6000	0,2
16,8000	0,2
17,0000	0,2
17,2000	0,2
17,4000	0,2
17,6000	0,2
17,8000	0,2
18,0000	0,2
18,2000	0,2
18,4000	0,2
18,6000	0,2
18,8000	0,2
19,0000	0,2
19,2000	0,2
19,4000	0,2
19,6000	0,2
19,8000	0,2
20,0000	0,2
20,2000	0,2
20,4000	0,2
20,6000	0,2
20,8000	0,2
21,0000	0,2
21,2000	0,2
21,4000	0,2
21,6000	0,2
21,8000	0,2
22,0000	0,2
22,2000	0,2
22,4000	0,2
22,6000	0,2
22,8000	0,2
23,0000	0,2
23,2000	0,2
23,4000	0,2
23,6000	0,2
23,8000	0,2
24,0000	0,2
24,2000	0,2
24,4000	0,2
24,6000	0,2
24,8000	0,2
25,0000	0,2
25,2000	0,2
25,4000	0,2
25,6000	0,2
25,8000	0,2
26,0000	0,2
26,2000	0,2
26,4000	0,2
26,6000	0,2
26,8000	0,2
27,0000	0,2
27,2000	0,2
27,4000	0,2
27,6000	0,2
27,8000	0,2
28,0000	0,2
28,2000	0,2
28,4000	0,2
28,6000	0,2
28,8000	0,2
29,0000	0,2
29,2000	0,2
29,4000	0,2
29,6000	0,2
29,8000	0,2
30,0000	0,2
30,2000	0,2
30,4000	0,2
30,6000	0,2
30,8000	0,2
31,0000	0,2
31,2000	0,2
31,4000	0,2
31,6000	0,2
31,8000	0,2
32,0000	0,2
32,2000	0,2
32,4000	0,2
32,6000	0,2
32,8000	0,2
33,0000	0,2
33,2000	0,2
33,4000	0,2
33,6000	0,2
33,8000	0,2
34,0000	0,2
34,2000	0,2
34,4000	0,2
34,6000	0,2
34,8000	0,2
35,0000	0,2
35,2000	0,2
35,4000	0,2
35,6000	0,2
35,8000	0,2
36,0000	0,2
36,2000	0,2
36,4000	0,2
36,6000	0,2
36,8000	0,2
37,0000	0,2
37,2000	0,2
37,4000	0,2
37,6000	0,2
37,8000	0,2
38,0000	0,2
38,2000	0,2
38,4000	0,2
38,6000	0,2
38,8000	0,2
39,0000	0,2
39,2000	0,2
39,4000	0,2
39,6000	0,2
39,8000	0,2
40,0000	0,2
40,2000	0,2
40,4000	0,2
40,6000	0,2
40,8000	0,2
41,0000	0,2
41,2000	0,2
41,4000	0,2
41,6000	0,2
41,8000	0,2
42,0000	0,2
42,2000	0,2
42,4000	0,2
42,6000	0,2
42,8000	0,2
43,0000	0,2
43,2000	0,2
43,4000	0,2
43,6000	0,2
43,8000	0,2
44,0000	0,3
44,2000	0,3
44,4000	0,2
44,6000	0,2
44,8000	0,2
45,0000	0,2
45,2000	0,3
45,4000	0,3
45,6000	0,3
45,8000	0,3
46,0000	0,3
46,2000	0,3
46,4000	0,3
46,6000	0,3
46,8000	0,3
47,0000	0,3
47,2000	0,3
47,4000	0,3
47,6000	0,3
47,8000	0,3
48,0000	0,3
48,2000	0,3
48,4000	0,3
48,6000	0,3
48,8000	0,3
49,0000	0,3
49,2000	0,3
49,4000	0,3
49,6000	0,3
49,8000	0,3
50,0000	0,3
50,2000	0,3
50,4000	0,2
50,6000	0,2
50,8000	0,2
51,0000	0,2
51,2000	0,2
51,4000	0,2
51,6000	0,2
51,8000	0,2
52,0000	0,2
52,2000	0,3
52,4000	0,3
52,6000	0,2
52,8000	0,2
53,0000	0,2
53,2000	0,2
53,4000	0,3
53,6000	0,3
53,8000	0,3
54,0000	0,3
54,2000	0,3
54,4000	0,3
54,6000	0,3
54,8000	0,3
55,0000	0,3
55,2000	0,3
55,4000	0,3
55,6000	0,3
55,8000	0,3
56,0000	0,3
56,2000	0,3
56,4000	0,3
56,6000	0,3
56,8000	0,3
57,0000	0,3
57,2000	0,3
57,4000	0,3
57,6000	0,3
57,8000	0,3
58,0000	0,3
58,2000	0,3
58,4000	0,3
58,6000	0,3
58,8000	0,3
59,0000	0,3
59,2000	0,3
59,4000	0,3
59,6000	0,3
59,8000	0,3
60,0000	0,3
60,2000	0,3
60,4000	0,3
60,6000	0,3
60,8000	0,3
61,0000	0,3
61,2000	0,3
61,4000	0,3
61,6000	0,3
61,8000	0,3
62,0000	0,4
62,2000	0,4
62,4000	0,3
62,6000	0,3
62,8000	0,3
63,0000	0,3
63,2000	0,3
63,4000	0,3
63,6000	0,3
63,8000	0,3
64,0000	0,4
64,2000	0,4
64,4000	0,3
64,6000	0,3
64,8000	0,3
65,0000	0,3
65,2000	0,3
65,4000	0,3
65,6000	0,4
65,8000	0,4
66,0000	0,4
66,2000	0,3
66,4000	0,3
66,6000	0,3
66,8000	0,3
67,0000	0,4
67,2000	0,4
67,4000	0,4
67,6000	0,4
67,8000	0,4
68,0000	0,4
68,2000	0,4
68,4000	0,4
68,6000	0,4
68,8000	0,4
69,0000	0,4
69,2000	0,4
69,4000	0,4
69,6000	0,4
69,8000	0,4
70,0000	0,4
70,2000	0,4
70,4000	0,4
70,6000	0,4
70,8000	0,4
71,0000	0,4
71,2000	0,4
71,4000	0,4
71,6000	0,4
71,8000	0,4
72,0000	0,4
72,2000	0,4
72,4000	0,4
72,6000	0,4
72,8000	0,4
73,0000	0,4
73,2000	0,4
73,4000	0,4
73,6000	0,4
73,8000	0,4
74,0000	0,4
74,2000	0,4
74,4000	0,4
74,6000	0,4
74,8000	0,4
75,0000	0,4
75,2000	0,4
75,4000	0,4
75,6000	0,4
75,8000	0,4
76,0000	0,4
76,2000	0,4
76,4000	0,4
76,6000	0,4
76,8000	0,4
77,0000	0,4
77,2000	0,4
77,4000	0,4
77,6000	0,4
77,8000	0,4
78,0000	0,4
78,2000	0,4
78,4000	0,4
78,6000	0,4
78,8000	0,4
79,0000	0,4
79,2000	0,4
79,4000	0,4
79,6000	0,4
79,8000	0,4
80,0000	0,4
80,2000	0,4
80,4000	0,4
80,6000	0,4
80,8000	0,4
81,0000	0,4
81,2000	0,4
81,4000	0,4
81,6000	0,4
81,8000	0,4
82,0000	0,4
82,2000	0,4
82,4000	0,4
82,6000	0,4
82,8000	0,4
83,0000	0,4
83,2000	0,4
83,4000	0,4
83,6000	0,4
83,8000	0,4
84,0000	0,4
84,2000	0,4
84,4000	0,4
84,6000	0,4
84,8000	0,4
85,0000	0,4
85,2000	0,4
85,4000	0,5
85,6000	0,5
85,8000	0,5
86,0000	0,5
86,2000	0,5
86,4000	0,4
86,6000	0,4
86,8000	0,4
87,0000	0,4
87,2000	0,4
87,4000	0,4
87,6000	0,4
87,8000	0,4
88,0000	0,4
88,2000	0,4
88,4000	0,4
88,6000	0,4
88,8000	0,4
89,0000	0,4
